Any,Nom_Districte,Nom_Barri,Sexe,Emmigrants,Immigrants
2016,Nou Barris,Ciutat Meridiana,Dones,188,310
2016,Nou Barris,Vallbona,Dones,22,28
2016,Sant Andreu,la Trinitat Vella,Dones,170,245
2016,Sant Andreu,Baró de Viver,Dones,40,44
2016,Sant Andreu,el Bon Pastor,Dones,219,233
2016,Sant Andreu,Sant Andreu,Dones,708,896
2016,Sant Andreu,la Sagrera,Dones,388,646
2016,Sant Andreu,el Congrés i els Indians,Dones,190,299
2016,Sant Andreu,Navas,Dones,346,470
2016,Sant Martí,el Camp de l'Arpa del Clot,Dones,680,974
2016,Sant Martí,el Clot,Dones,379,589
2016,Sant Martí,el Parc i la Llacuna del Poblenou,Dones,236,406
2016,Sant Martí,la Vila Olímpica del Poblenou,Dones,104,195
2016,Sant Martí,el Poblenou,Dones,483,813
2016,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Dones,193,332
2016,Sant Martí,el Besòs i el Maresme,Dones,484,704
2016,Sant Martí,Provençals del Poblenou,Dones,320,407
2016,Sant Martí,Sant Martí de Provençals,Dones,403,535
2016,Sant Martí,la Verneda i la Pau,Dones,396,501
2017,Ciutat Vella,el Raval,Homes,1195,3063
2017,Ciutat Vella,el Barri Gòtic,Homes,427,1499
2017,Ciutat Vella,la Barceloneta,Homes,361,910
2017,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Homes,502,1438
2017,Eixample,el Fort Pienc,Homes,495,1082
2017,Eixample,la Sagrada Família,Homes,796,1693
2017,Eixample,la Dreta de l'Eixample,Homes,666,1543
2017,Eixample,l'Antiga Esquerra de l'Eixample,Homes,702,1693
2017,Eixample,la Nova Esquerra de l'Eixample,Homes,925,1927
2017,Eixample,Sant Antoni,Homes,632,1253
2017,Sants-Montjuïc,el Poble-sec,Homes,887,1595
2017,Sants-Montjuïc,la Marina del Prat Vermell,Homes,22,17
2017,Sants-Montjuïc,la Marina de Port,Homes,516,724
2017,Sants-Montjuïc,la Font de la Guatlla,Homes,193,351
2017,Sants-Montjuïc,Hostafrancs,Homes,319,584
2017,Sants-Montjuïc,la Bordeta,Homes,329,471
2017,Sants-Montjuïc,Sants - Badal,Homes,475,703
2017,Sants-Montjuïc,Sants,Homes,789,1407
2017,Les Corts,les Corts,Homes,651,1054
2017,Les Corts,la Maternitat i Sant Ramon,Homes,415,608
2017,Les Corts,Pedralbes,Homes,189,367
2017,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",Homes,67,89
2017,Sarrià-Sant Gervasi,Sarrià,Homes,318,606
2017,Sarrià-Sant Gervasi,les Tres Torres,Homes,183,337
2017,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,Homes,299,531
2017,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Homes,598,1092
2017,Sarrià-Sant Gervasi,el Putxet i el Farró,Homes,396,733
2017,Gràcia,Vallcarca i els Penitents,Homes,229,355
2017,Gràcia,el Coll,Homes,102,166
2017,Gràcia,la Salut,Homes,184,382
2017,Gràcia,la Vila de Gràcia,Homes,792,1623
2017,Gràcia,el Camp d'en Grassot i Gràcia Nova,Homes,457,833
